strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.07,1.07,1.08,191.1,156.6,0.4532,355.5,23,10,8
A/Busan/1301/2023,0.91,0.89,0.92,242.9,210.3,0.3617,432.2,11,3,3
A/Finland/391/2023,0.92,0.91,0.92,245.9,208.8,0.3475,403.7,11,6,6
A/Georgia/40/2023,1.09,1.07,1.1,205.7,175.9,0.4357,442.3,21,9,8
A/Jeju/1047/2023,0.89,0.87,0.9,276.1,234.2,0.3121,452.7,11,3,3
A/Ontario/RV00796/2023,1.14,1.14,1.15,185.2,150.8,0.4823,331,24,10,9
A/SENDAI/45/2023,0.91,0.9,0.92,226.9,186.5,0.3759,433.8,16,6,5
A/Saint-Petersburg/RII-166/2023,1.06,1.05,1.07,190.5,162.2,0.4539,361,26,10,9
A/Schleswig-Holstein/4/2023,0.91,0.9,0.92,274.4,239,0.305,458.1,14,5,5
A/Sydney/332/2023,1,1,1.01,220,178.3,0.3929,414.7,21,9,8
A/TECPAN/017FLU/2023,0.94,0.93,0.95,204,180.8,0.3929,385.1,12,5,4
A/Massachusetts/18/2022,1,1,1,242.7,221.5,0.3688,425.9,20,8,7
