strain,growth_advantage_median,growth_advantage_hpd_min,growth_advantage_hpd_max,mean_titer,median_titer,frac_below_titer,pool_titer,nucleotide_mutations,protein_mutations,HA1_protein_mutations
A/Bhutan/0845/2023,1.07,1.07,1.08,151.4,85.07,0.4727,493.3,23,10,8
A/Busan/1301/2023,0.91,0.89,0.92,244,155.3,0.1429,798.3,11,3,3
A/Finland/391/2023,0.92,0.91,0.92,228,143.4,0.1786,628,11,6,6
A/Georgia/40/2023,1.09,1.07,1.1,166.6,108.8,0.4364,477.5,21,9,8
A/Jeju/1047/2023,0.89,0.87,0.9,208.1,129.8,0.1786,695.8,11,3,3
A/Ontario/RV00796/2023,1.14,1.14,1.15,174.5,104.2,0.4286,610.8,23,10,9
A/SENDAI/45/2023,0.91,0.9,0.92,197.6,138.9,0.1964,560.4,16,6,5
A/Saint-Petersburg/RII-MH144113/2023,1.06,1.05,1.07,160.4,96.86,0.4464,524.2,26,10,9
A/Schleswig-Holstein/4/2023,0.91,0.9,0.92,204,144.3,0.1964,650.7,14,5,5
A/Sydney/332/2023,1,1,1.01,204.5,130.4,0.2909,600.1,21,9,8
A/TECPAN/017FLU/2023,0.94,0.93,0.95,155.5,98.06,0.3818,531.4,12,5,4
A/Massachusetts/18/2022,1,1,1,193.4,126.3,0.3571,553.4,20,8,7
